profile_id,lon_r,lat_r,path_to_img,object_id,lon,lat,datetime,depth,taxon,large_group,pixel_id,case
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12511579.jpg,12511579,-15.778,-48.27683,2009-02-27T10:03:42Z,98.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12545747.jpg,12545747,-15.778,-48.27683,2009-02-27T10:03:42Z,98.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12490454.jpg,12490454,-15.778,-48.27683,2009-02-27T10:03:42Z,99,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12554090.jpg,12554090,-15.778,-48.27683,2009-02-27T10:03:42Z,99,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12538069.jpg,12538069,-15.778,-48.27683,2009-02-27T10:03:42Z,99,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12508370.jpg,12508370,-15.778,-48.27683,2009-02-27T10:03:42Z,99,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12513525.jpg,12513525,-15.778,-48.27683,2009-02-27T10:03:42Z,99,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12553644.jpg,12553644,-15.778,-48.27683,2009-02-27T10:03:42Z,99,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12496957.jpg,12496957,-15.778,-48.27683,2009-02-27T10:03:42Z,99,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12539380.jpg,12539380,-15.778,-48.27683,2009-02-27T10:03:42Z,99.1,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12510092.jpg,12510092,-15.778,-48.27683,2009-02-27T10:03:42Z,99.1,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12498622.jpg,12498622,-15.778,-48.27683,2009-02-27T10:03:42Z,99.6,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12425317.jpg,12425317,-15.778,-48.27683,2009-02-27T10:03:42Z,99.6,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12538038.jpg,12538038,-15.778,-48.27683,2009-02-27T10:03:42Z,100.1,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12557588.jpg,12557588,-15.778,-48.27683,2009-02-27T10:03:42Z,100.5,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12425080.jpg,12425080,-15.778,-48.27683,2009-02-27T10:03:42Z,100.7,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12424305.jpg,12424305,-15.778,-48.27683,2009-02-27T10:03:42Z,100.9,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12557874.jpg,12557874,-15.778,-48.27683,2009-02-27T10:03:42Z,101.1,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12425201.jpg,12425201,-15.778,-48.27683,2009-02-27T10:03:42Z,101.3,Copepoda,Crustacea,6,Low taxonomic evenness
6115,-15.875,-48.375,~/Documents/Data/UVP5/images/6115/12425184.jpg,12425184,-15.778,-48.27683,2009-02-27T10:03:42Z,101.7,Copepoda,Crustacea,6,Low taxonomic evenness
